ResourceNo,ResourceType,CultureName,ResourceKey,ResourceValue,InitBy,InitDate,ChangedBy,ChangedDate
5886,DevExpress_Web_ASPxPivotGrid_v11_1,en-US,PivotGridStringId.CustomizationFormUpdate,Update,pat,2011-11-23 00:00:00,,NULL
5957,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertImage_FromWeb,À partir du Web (URL),pat,2011-11-23 00:00:00,HThomas,2011-12-13 12:14:00
5958,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertImage_MoreOptions,Plus d'options,pat,2011-11-23 00:00:00,daghern,2011-11-30 11:41:00
5959,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertImage_Preview,Aperçu de l'image,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:21:00
5960,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertImage_SaveToServer,Sauvegarder le fichier sur le serveur,pat,2011-11-23 00:00:00,daghern,2011-11-30 11:42:00
5961,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertImage_UploadInstructions,Rechercher sur l'ordinateur le fichier image à téléverser.,pat,2011-11-23 00:00:00,daghern,2011-11-30 11:44:00
5962,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertImage_UseFloat,Ajuster le texte autour de l'image,pat,2011-11-23 00:00:00,daghern,2011-11-30 11:45:00
5963,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertLink,Insérer un lien,pat,2011-11-23 00:00:00,daghern,2011-11-30 07:28:00
5964,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertLink_DisplayProperties,Propriétés d'affichage,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:22:00
5965,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertLink_Email,Adresse courriel,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:22:00
5966,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertLink_EmailTo,Envoyer par courriel à,pat,2011-11-23 00:00:00,HThomas,2011-12-13 12:14:00
5967,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertLink_OpenInNewWindow,Ouvrir dans une nouvelle fenêtre,pat,2011-11-23 00:00:00,daghern,2011-11-30 11:46:00
5968,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertLink_Subject,Objet,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:23:00
5969,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertLink_Text,Texte,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:23:00
5970,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertLink_ToolTip,Infobulle,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:24:00
5971,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.InsertLink_Url,URL,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:24:00
5972,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TotalFormatAverage,"Moyenne des  {0} ",pat,2011-11-23 00:00:00,HThomas,2011-12-08 13:27:00
5973,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TotalFormatCount,Quantité {0},pat,2011-11-23 00:00:00,HThomas,2012-01-10 07:32:00
5974,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TotalFormatCustom,"Sur mesure {0} ",pat,2011-11-23 00:00:00,HThomas,2012-01-10 07:36:00
5975,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TotalFormatMax,{0} Max,pat,2011-11-23 00:00:00,daghern,2012-01-04 12:08:00
5976,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TotalFormatMin,{0} Min,pat,2011-11-23 00:00:00,daghern,2012-01-04 12:08:00
5977,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TotalFormatStdDev,"Écart-type {0} ",pat,2011-11-23 00:00:00,HThomas,2012-01-10 07:36:00
5978,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TotalFormatStdDevp,"Écart-type basé sur la population {0} ",pat,2011-11-23 00:00:00,HThomas,2012-01-10 07:37:00
5979,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TotalFormatSum,"Additionner {0} ",pat,2011-11-23 00:00:00,HThomas,2012-01-10 07:38:00
5980,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TotalFormatVar,Variance {0},pat,2011-11-23 00:00:00,HThomas,2012-01-10 07:38:00
5981,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TotalFormatVarp,"Variance basée sur la population {0} ",pat,2011-11-23 00:00:00,HThomas,2012-01-10 07:39:00
5982,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TrendGoingDown,Vers le bas,pat,2011-11-23 00:00:00,HThomas,2011-12-08 13:28:00
5983,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TrendGoingUp,Vers le haut,pat,2011-11-23 00:00:00,HThomas,2011-12-08 13:28:00
5984,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.TrendNoChange,Aucun changement,pat,2011-11-23 00:00:00,HThomas,2011-12-08 10:03:00
5985,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_Day,Day,pat,2011-11-23 00:00:00,,NULL
5986,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_Days,day(s),pat,2011-11-23 00:00:00,,NULL
5987,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_DeleteRecurrentApt,Confirm Delete,pat,2011-11-23 00:00:00,,NULL
5988,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_DetailInfo,Show detail info,pat,2011-11-23 00:00:00,,NULL
5989,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_Every,Every,pat,2011-11-23 00:00:00,,NULL
5990,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_EveryWeekday,Every weekday,pat,2011-11-23 00:00:00,,NULL
5991,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_GotoDate,Go To Date,pat,2011-11-23 00:00:00,,NULL
5992,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_Info,Information,pat,2011-11-23 00:00:00,,NULL
5993,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_Months,month(s),pat,2011-11-23 00:00:00,,NULL
5994,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_Occurrences,occurrences,pat,2011-11-23 00:00:00,,NULL
5995,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_Of,of,pat,2011-11-23 00:00:00,,NULL
5996,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_OfEvery,of  every,pat,2011-11-23 00:00:00,,NULL
5997,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_OpenRecurrentApt,Open Recurring Item,pat,2011-11-23 00:00:00,,NULL
5998,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_OperationToolTip,Press ESC to cancel operation,pat,2011-11-23 00:00:00,,NULL
5999,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_RecurenceRange_EndBy,End by:,pat,2011-11-23 00:00:00,,NULL
6000,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_RecurenceRange_NoEndDate,No end date,pat,2011-11-23 00:00:00,,NULL
6001,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_RecurenceRange_OccurrenceCount,End after:,pat,2011-11-23 00:00:00,,NULL
6002,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_RecurEvery,Recur every,pat,2011-11-23 00:00:00,,NULL
6003,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_Recurrence,Recurrence,pat,2011-11-23 00:00:00,,NULL
6004,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_RecurrenceType_Daily,Daily,pat,2011-11-23 00:00:00,,NULL
6005,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_RecurrenceType_Monthly,Monthly,pat,2011-11-23 00:00:00,,NULL
6006,DevExpress_Web_ASPxScheduler_v11_1,en-US,ASPxSchedulerStringId.Caption_RecurrenceType_Weekly,Weekly,pat,2011-11-23 00:00:00,,NULL
6007,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Height,Height,pat,2011-11-23 00:00:00,,NULL
6008,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.ButtonOk,OK,pat,2011-11-23 00:00:00,daghern,2011-11-29 09:36:00
6009,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandCut,Couper,pat,2011-11-23 00:00:00,daghern,2011-11-29 09:38:00
6010,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandIndent,Augmenter le retrait,pat,2011-11-23 00:00:00,HThomas,2015-04-30 13:24:00
6011,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandJustify,Justifier,pat,2011-11-23 00:00:00,daghern,2011-11-30 07:05:00
6012,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandLeft,Aligner à gauche,pat,2011-11-23 00:00:00,daghern,2011-11-30 07:06:00
6013,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandOrderedList,Liste numérotée,pat,2011-11-23 00:00:00,daghern,2011-11-30 07:06:00
6014,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandOutdent,Diminuer le retrait,pat,2011-11-23 00:00:00,daghern,2011-11-30 07:08:00
6015,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandPaste,Coller,pat,2011-11-23 00:00:00,daghern,2011-11-29 09:39:00
6016,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandPasteRtf,Coller à partir de Word,pat,2011-11-23 00:00:00,daghern,2011-11-30 07:09:00
6017,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandPrint,Imprimer,pat,2011-11-23 00:00:00,daghern,2011-11-29 09:40:00
6018,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandRedo,Rétablir,pat,2011-11-23 00:00:00,daghern,2011-11-29 09:40:00
6019,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandRemoveFormat,Supprimer le formatage,pat,2011-11-23 00:00:00,daghern,2011-11-30 07:09:00
6020,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandRight,Aligner à droite,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:10:00
6021,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandStrikethrough,Barré double,pat,2011-11-23 00:00:00,HThomas,2017-06-28 12:25:00
6022,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandSuperscript,Exposant,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:12:00
6023,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandUnderline,Souligner,pat,2011-11-23 00:00:00,daghern,2011-11-30 07:15:00
6024,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandUndo,Annuler,pat,2011-11-23 00:00:00,daghern,2011-11-29 09:43:00
6025,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.CommandUnlink,Supprimer le lien,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:13:00
6026,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.ContextMenu_ChangeImage,Modifier l'image...,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:13:00
6027,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.ContextMenu_ChangeLink,Modifier le lien...,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:13:00
6028,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.ContextMenu_TableCellProperties,Propriétés de la cellule...,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:14:00
6029,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.ContextMenu_TableColumnProperties,Propriétés de la colonne...,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:14:00
6030,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.ContextMenu_TableProperties,Propriétés du tableau...,pat,2011-11-23 00:00:00,HThomas,2011-12-13 12:09:00
6031,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.ContextMenu_TableRowProperties,Propriétés de la rangée...,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:14:00
6032,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.DeleteTable,Supprimer le tableau,pat,2011-11-23 00:00:00,daghern,2011-11-30 07:17:00
6033,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.DeleteTableColumn,Supprimer la colonne,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:15:00
6034,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.DeleteTableRow,Supprimer la rangée,pat,2011-11-23 00:00:00,HThomas,2015-06-10 09:41:00
6035,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.DesignViewTab,Design,pat,2011-11-23 00:00:00,daghern,2011-12-01 12:07:00
6036,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.FontName,Nom de la police,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:16:00
6037,DevExpress_Web_ASPxHtmlEditor_v11_1,fr-CA,ASPxHtmlEditorStringId.FontSize,Taille de la police,pat,2011-11-23 00:00:00,daghern,2011-11-29 11:16:00
6038,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ContextMenu_TableCellProperties,Cell Properties...,pat,2011-11-23 00:00:00,,NULL
6039,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ContextMenu_TableColumnProperties,Column Properties...,pat,2011-11-23 00:00:00,,NULL
6040,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ContextMenu_TableProperties,Table Properties...,pat,2011-11-23 00:00:00,,NULL
6041,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ContextMenu_TableRowProperties,Row Properties...,pat,2011-11-23 00:00:00,,NULL
6042,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.DeleteTable,Delete Table,pat,2011-11-23 00:00:00,,NULL
6043,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.DeleteTableColumn,Delete Column,pat,2011-11-23 00:00:00,,NULL
6044,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.DeleteTableRow,Delete Row,pat,2011-11-23 00:00:00,,NULL
6045,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertImage_FromLocal,From this computer,pat,2011-11-23 00:00:00,,NULL
6046,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertImage_FromWeb,From the web (URL),pat,2011-11-23 00:00:00,,NULL
6047,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertImage_MoreOptions,More options,pat,2011-11-23 00:00:00,,NULL
6048,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertImage_Preview,Image preview,pat,2011-11-23 00:00:00,,NULL
6049,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertImage_SaveToServer,Save file to this server,pat,2011-11-23 00:00:00,,NULL
6050,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertImage_UploadInstructions,Browse your computer for the image file to upload.,pat,2011-11-23 00:00:00,,NULL
6051,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertImage_UseFloat,Wrap text around image,pat,2011-11-23 00:00:00,,NULL
6052,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertLink,Insert Link,pat,2011-11-23 00:00:00,,NULL
6053,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertLink_Email,E-mail address,pat,2011-11-23 00:00:00,,NULL
6054,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertLink_EmailTo,E-mail to,pat,2011-11-23 00:00:00,,NULL
6055,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertLink_OpenInNewWindow,Open in new window,pat,2011-11-23 00:00:00,,NULL
6056,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertLink_Subject,Subject,pat,2011-11-23 00:00:00,,NULL
6057,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertLink_Text,Text,pat,2011-11-23 00:00:00,,NULL
6058,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertLink_ToolTip,ToolTip,pat,2011-11-23 00:00:00,,NULL
6059,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertLink_Url,URL,pat,2011-11-23 00:00:00,,NULL
6060,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.DesignViewTab,Design,pat,2011-11-23 00:00:00,,NULL
6061,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.FontName,Font Name,pat,2011-11-23 00:00:00,,NULL
6062,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.FontSize,Font Size,pat,2011-11-23 00:00:00,,NULL
6063,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.HtmlViewTab,HTML,pat,2011-11-23 00:00:00,,NULL
6064,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_CreateThumbnail,Create thumbnail,pat,2011-11-23 00:00:00,,NULL
6065,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_CustomSize,Custom size,pat,2011-11-23 00:00:00,,NULL
6066,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_Description,Description,pat,2011-11-23 00:00:00,,NULL
6067,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_Height,Height,pat,2011-11-23 00:00:00,,NULL
6068,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_NewImageName,New image name,pat,2011-11-23 00:00:00,,NULL
6069,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ContextMenu_ChangeImage,Change Image...,pat,2011-11-23 00:00:00,,NULL
6070,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_OriginalSize,Original image size,pat,2011-11-23 00:00:00,,NULL
6071,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_Position,Position,pat,2011-11-23 00:00:00,,NULL
6072,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_PositionCenter,Center,pat,2011-11-23 00:00:00,,NULL
6073,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_PositionLeft,Left-aligned,pat,2011-11-23 00:00:00,,NULL
6074,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_PositionRight,Right-aligned,pat,2011-11-23 00:00:00,,NULL
6075,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_Size,Size,pat,2011-11-23 00:00:00,,NULL
6076,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.ImageProps_Width,Width,pat,2011-11-23 00:00:00,,NULL
6077,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertImage,Insert Image,pat,2011-11-23 00:00:00,,NULL
6078,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertImage_EnterUrl,Enter image web address,pat,2011-11-23 00:00:00,,NULL
6079,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable,Insert Table,pat,2011-11-23 00:00:00,,NULL
6080,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Accessibility,Accessibility,pat,2011-11-23 00:00:00,,NULL
6081,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Alignment,Alignment,pat,2011-11-23 00:00:00,,NULL
6082,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Alignment_Center,Center,pat,2011-11-23 00:00:00,,NULL
6083,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Alignment_Left,Left,pat,2011-11-23 00:00:00,,NULL
6084,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Alignment_Right,Right,pat,2011-11-23 00:00:00,,NULL
6085,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Appearance,Appearance,pat,2011-11-23 00:00:00,,NULL
6086,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_ApplyToAllCell,Apply to all cells in the table,pat,2011-11-23 00:00:00,,NULL
6087,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_AutoFitToContent,AutoFit to contents,pat,2011-11-23 00:00:00,,NULL
6088,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_BorderColor,Border color,pat,2011-11-23 00:00:00,,NULL
6089,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_BorderSize,Border size,pat,2011-11-23 00:00:00,,NULL
6090,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Both,Both,pat,2011-11-23 00:00:00,,NULL
6091,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Caption,Caption,pat,2011-11-23 00:00:00,,NULL
6092,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_CellPaddings,Cell padding,pat,2011-11-23 00:00:00,,NULL
6093,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_CellSpacing,Cell spacing,pat,2011-11-23 00:00:00,,NULL
6094,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Columns,Columns,pat,2011-11-23 00:00:00,,NULL
6095,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Custom,Custom,pat,2011-11-23 00:00:00,,NULL
6096,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_EqualColumnWidths,Equal column widths,pat,2011-11-23 00:00:00,,NULL
6097,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_FirstColumn,First Column,pat,2011-11-23 00:00:00,,NULL
6098,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_FirstRow,First Row,pat,2011-11-23 00:00:00,,NULL
6099,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_FullWidth,Full width,pat,2011-11-23 00:00:00,,NULL
6100,DevExpress_Web_ASPxHtmlEditor_v11_1,en-US,ASPxHtmlEditorStringId.InsertTable_Headers,Headers,pat,2011-11-23 00:00:00,,NULL
6101,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.EditPrefilter,Modifier le filtre préliminaire,pat,2011-11-23 00:00:00,HThomas,2011-12-13 06:53:00
6102,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.FilterArea,Zone de filtrage,pat,2011-11-23 00:00:00,HThomas,2011-12-13 06:35:00
6103,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.FilterCancel,Annuler,pat,2011-11-23 00:00:00,HThomas,2011-12-13 06:36:00
6104,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.FilterHeadersCustomization,Déposer les champs de filtrage ici,pat,2011-11-23 00:00:00,HThomas,2011-12-13 06:37:00
6105,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.FilterHideAll,(Masquer tout),pat,2011-11-23 00:00:00,HThomas,2011-12-13 06:37:00
6106,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.FilterInvert,Inverser le filtre,pat,2011-11-23 00:00:00,HThomas,2011-12-13 06:38:00
6107,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.FilterOk,OK,pat,2011-11-23 00:00:00,HThomas,2011-12-13 06:38:00
6108,DevExpress_Web_ASPxPivotGrid_v11_1,fr-CA,PivotGridStringId.FilterShowAll,(Tout afficher),pat,2011-11-23 00:00:00,daghern,2012-05-03 13:11:00
